increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,45710.3535,1.968089,2.00
2,6.0960,20561.5010,0.885289,4.00
3,9.1440,30532.4552,1.314594,6.00
4,12.1920,41374.1767,1.781392,8.00
5,15.2400,52136.6548,2.244777,10.00
6,18.2880,64710.6423,2.786158,12.00
7,21.3360,77475.6671,3.335765,14.00
8,24.3840,92604.3332,3.987139,16.00
9,27.4320,108978.1608,4.692125,18.00
10,30.4800,127301.3416,5.481041,20.00
11,33.5280,147756.9807,6.361772,22.00
12,36.5760,170471.0876,7.339742,24.00
13,39.6240,195562.3841,8.420064,26.00
14,42.6720,223071.7526,9.604497,28.00
15,45.7200,253679.0652,10.922315,30.00
