increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,440713.1377,18.975187,2.00
2,6.0960,25584.0494,1.101538,4.00
3,9.1440,24369.0791,1.049226,6.00
4,12.1920,32721.8022,1.408858,8.00
5,15.2400,41418.4718,1.783299,10.00
6,18.2880,50896.5852,2.191385,12.00
7,21.3360,61145.7255,2.632668,14.00
8,24.3840,72376.4373,3.116214,16.00
9,27.4320,84563.8801,3.640952,18.00
10,30.4800,98144.6074,4.225679,20.00
11,33.5280,113175.5913,4.872848,22.00
12,36.5760,129788.7852,5.588139,24.00
13,39.6240,148561.6974,6.396419,26.00
14,42.6720,169437.2482,7.295229,28.00
15,45.7200,191510.0921,8.245590,30.00
