increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,242034.6525,10.420957,2.00
2,6.0960,15430.0386,0.664350,4.00
3,9.1440,22646.7620,0.975071,6.00
4,12.1920,30486.9558,1.312635,8.00
5,15.2400,38302.0444,1.649119,10.00
6,18.2880,46967.7525,2.022227,12.00
7,21.3360,56136.3432,2.416986,14.00
8,24.3840,66139.9279,2.847697,16.00
9,27.4320,77104.2991,3.319775,18.00
10,30.4800,89427.2145,3.850346,20.00
11,33.5280,102215.6347,4.400960,22.00
12,36.5760,117213.5034,5.046703,24.00
13,39.6240,132995.8190,5.726220,26.00
14,42.6720,150347.5404,6.473310,28.00
15,45.7200,169386.4355,7.293042,30.00
