increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,369197.0551,15.896016,2.00
2,6.0960,22524.2976,0.969798,4.00
3,9.1440,27387.9602,1.179206,6.00
4,12.1920,37156.9181,1.599815,8.00
5,15.2400,46643.3786,2.008261,10.00
6,18.2880,57390.7288,2.470995,12.00
7,21.3360,69500.0724,2.992370,14.00
8,24.3840,82303.1889,3.543617,16.00
9,27.4320,96369.3591,4.149245,18.00
10,30.4800,112095.3941,4.826339,20.00
11,33.5280,129545.4148,5.577661,22.00
12,36.5760,148822.0571,6.407629,24.00
13,39.6240,170194.7476,7.327844,26.00
14,42.6720,194042.5663,8.354627,28.00
15,45.7200,220126.5261,9.477689,30.00
