increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,10067.6023,0.433467,2.00
2,6.0960,20122.3379,0.866380,4.00
3,9.1440,29889.8323,1.286926,6.00
4,12.1920,40146.9792,1.728554,8.00
5,15.2400,51679.4588,2.225092,10.00
6,18.2880,63385.6872,2.729111,12.00
7,21.3360,76203.1220,3.280974,14.00
8,24.3840,90632.0156,3.902220,16.00
9,27.4320,105826.3454,4.556421,18.00
10,30.4800,123662.1606,5.324354,20.00
11,33.5280,144212.7246,6.209171,22.00
12,36.5760,165362.6247,7.119794,24.00
13,39.6240,189370.0597,8.153449,26.00
14,42.6720,216649.5657,9.327986,28.00
15,45.7200,244826.3695,10.541156,30.00
