increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,8815.8914,0.379574,2.00
2,6.0960,17641.3516,0.759560,4.00
3,9.1440,26119.0530,1.124573,6.00
4,12.1920,35014.1881,1.507558,8.00
5,15.2400,44531.2471,1.917321,10.00
6,18.2880,54534.4918,2.348018,12.00
7,21.3360,65367.6636,2.814447,14.00
8,24.3840,77222.7160,3.324874,16.00
9,27.4320,90281.3333,3.887121,18.00
10,30.4800,104724.5421,4.508982,20.00
11,33.5280,120689.9399,5.196383,22.00
12,36.5760,138280.8542,5.953771,24.00
13,39.6240,157620.2385,6.786441,26.00
14,42.6720,178954.7648,7.705012,28.00
15,45.7200,202014.6306,8.697870,30.00
