increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,388790.8362,16.739639,2.00
2,6.0960,24200.0780,1.041950,4.00
3,9.1440,19426.4774,0.836419,6.00
4,12.1920,25838.6218,1.112498,8.00
5,15.2400,33065.7848,1.423669,10.00
6,18.2880,40382.2824,1.738685,12.00
7,21.3360,47797.4351,2.057949,14.00
8,24.3840,56088.6018,2.414931,16.00
9,27.4320,65104.5722,2.803119,18.00
10,30.4800,74948.5725,3.226959,20.00
11,33.5280,85708.6123,3.690239,22.00
12,36.5760,97481.4253,4.197125,24.00
13,39.6240,111284.2496,4.791415,26.00
14,42.6720,124691.7387,5.368683,28.00
15,45.7200,139945.0274,6.025423,30.00
